word,translation,usage1,usage2
braw,fine; excellent,"That's a braw jacket ye've got.","The weather's been braw the day."
gloamin,twilight,"They walked hame in the gloamin.","The hills look bonnie in the gloamin."
dreich,bleak; drizzly,"It's a dreich mornin again.","The match was cancelled in the dreich weather."
scunner,disgust; annoyance,"That film gied me a scunner.","I've a scunner for that place noo."
wee,small,"Haud on a wee minute.","She's just a wee lassie."
muckle,large,"That's a muckle stane.","He’s got muckle energy."
bairn,child,"She's awa tae pick up the bairn.","The bairns are playin in the street."
ken,know,"I dinna ken where he went.","Ken ye this song?"
aye,yes,"Aye, I'll dae it.","Aye, that's the one."
wheesht,be quiet,"Wheesht now, the show's startin.","Gie it a wheesht for a meenit."
blether,chat; ramble,"We had a guid blether last night.","Stop bletherin and get on."
couthie,warm; friendly,"They’re a couthie couple.","It’s a couthie wee place."
gallus,bold; cheeky,"He's a gallus lad.","That gallus attitude'll get ye in trouble."
hackit,ugly,"That’s a hackit hat.","He made a hackit face at me."
clarty,muddy,"Don't come in wi thae clarty boots.","The field was clarty efter the rain."
hoachin,teeming; crowded,"The place was hoachin wi folk.","The market's hoachin every Saturday."
stooshie,commotion,"There was a stooshie at the pub.","What’s the stooshie aboot this time?"
girn,complain; whine,"Stop girnin and help.","He's aye girnin aboot his work."
greet,cry,"The wean's greetin again.","I nearly gret at the news."
laldy,energy; vigour,"Gie it laldy on the dance floor.","They sang wi real laldy."
lochan,small lake,"We camped by a quiet lochan.","The lochan froze ower in winter."
burn,stream,"They crossed the burn by the stane bridge.","There's trout in that burn."
clang,meadow,"They walked through the clang at dawn.","The cattle grazed in the lower clang."
guddle,muddle; mess,"The drawer's a right guddle.","We guddled aboot in the shed for tools."
brawlie,nicely; well,"He’s daein brawlie at school.","The cake turned out brawlie."
fankle,tangle,"My shoelaces are in a fankle.","Don't fankle the wires."
sneck,door latch,"Lift the sneck tae open it.","The sneck's stuck again."
swith,quickly,"Swith, get yer coat!","Swith awa or we’ll be late."
thole,endure,"I canna thole this heat.","Ye'll just hae tae thole it."
swither,hesitate,"Don't swither—just choose.","She swithered ower the decision."
scaldie,seagull,"A scaldie stole my chips.","Watch the scaldies at the harbour."
canny,careful; shrewd,"Be canny wi yer money.","He's a canny worker."
crabbit,bad-tempered,"He's aye crabbit in the mornin.","A crabbit look crossed her face."
fash,bother; trouble,"Dinna fash yersel.","Sorry to fash ye wi this."
kirk,church,"They gaed tae the kirk on Sunday.","The auld kirk bell rang oot."
haver,talk nonsense,"Stop haverin and tell the truth.","He's aye haverin aboot somethin daft."
lum,chimney,"Smoke's pourin frae the lum.","Clean the lum afore winter."
mauchter,strength; stamina,"It took some mauchter to lift that.","She’s lost a bit o mauchter lately."
owerby,upstairs,"He’s owerby in his room.","The cat's sleepin owerby."
peely-wally,pale; sickly,"You're lookin awfy peely-wally.","She felt peely-wally efter the flu."
speir,ask; inquire,"Speir at the desk for help.","I speired what time they'd arrive."
skelp,slap; smack,"He fell and skelped his knee.","The rain skelped off the windows."
shoogle,shake; wobble,"This table's fair shoogly.","Give it a wee shoogle."
boak,nausea; retch,"That smell gied me the boak.","I nearly boaked at it."
clipe,tell-tale; snitch,"Don't be a clipe.","He cli ped on his pal at school."
craw,boast,"He's aye crawin aboot his car.","Stop yer crawin."
trauchle,exhaust; struggle,"I was trauchled efter the shift.","That hike fair trauchled us."
stoat,stagger; bounce,"He stoated hame fae the pub.","The ba stoated aff the waw."
haar,sea fog,"The haar rolled in quick.","Ye can hardly see in this haar."
oxter,armpit,"He held the bag in his oxter.","Tickled under the oxters."
heid,head,"Use yer heid.","He’s a smart heid on him."
cloot,cloth; rag,"Gie that a wipe wi a cloot.","The cloot's aw torn."
dook,dip; bathe,"Fancy a dook in the sea?","We dooked the apples."
fly,cunning; sly,"He's a fly character.","That was a fly wee trick."
bummle,bumble; wander,"We bummled roon the toon.","He’s aye bummlein aboot."
carlach,snarl; sharp cry,"The dog let oot a carlach.","A carlach startled us in the dark."
skreigh,screech; cry,"A skreigh echoed ower the hills.","She skreighed when she saw the spider."
shoogle,wobble; shake,"The bridge shoogled in the wind.","Give the pole a shoogle."
claggy,sticky; gooey,"The path was claggy wi mud.","The toffee's awfy claggy."
drookit,soaking wet,"I came hame drookit.","You're drookit—get a towel."
scunnert,fed up; disgusted,"I'm scunnert wi this weather.","He looked pure scunnert at the news."
wanchancy,unlucky; risky,"That’s a wanchancy plan.","He’s a wanchancy sort."
glaikit,foolish; scatterbrained,"Don't be glaikit.","A glaikit look crossed his face."
smeddum,spirit; vigour,"She's full o smeddum.","It’ll take smeddum to finish this."
tattie potato,"Put the tatties on.","A bag o tatties fell ower."
neb,nose,"Mind yer neb.","His neb was reddened by the cold."
stour,dust; turmoil,"A stour rose behind the car.","The place was in a stour."
claver,idle chat,"We had a richt claver.","Stop yer claverin."
skelp,firm hit,"He gave the door a skelp.","The ball skelped aff the wa."
dicht,clean; wipe,"Dicht the table first.","She dichted her hands."
skyt,throw; fling,"He sky tit the ball ower the fence.","Don't skyt that at me!"
birl,spin; whirl,"Gie it a birl.","They birled roon the floor."
glisk,brief glimpse,"I got a glisk o the sun.","A glisk o movement caught my eye."
hansel,first gift; token,"A hansel for yer new hoose.","They gave the bairn a hansel."
scraffle,struggle; scramble,"We scraffled up the slope.","The hens were scrafflin aboot."
coorie,curl up; nestle,"Coorie in by the fire.","We cooried doon for the night."
dumfoonert,astonished,"I was dumfoonert at the result.","She stood there dumfoonert."
fouter,fiddle; mess about,"Stop fouterin wi that.","He foutered till it broke."
raucle,hoarse,"His voice was ra ucle wi shoutin.","A raucle song rang oot."
rammy,row; fight,"There was a rammy ootside.","Don't start a rammy."
skail,scatter; spill,"Don't skail the milk.","The crowd skailt quickly."
stot,bounce,"The ba stotted aff the flair.","It stotted again the wa."
yaffle,scold; chatter,"She yaffled at the dug.","He yaffles on aboot politics."
yowes,sheep,"The yowes are in the field.","He counted yowes till he slept."
mense,decency; dignity,"Hae some mense.","That's no very mensefu."
clype,inform; tell tales,"Don't clype on yer pals.","He clyped tae the teacher."
loup,leap; jump,"Loup ower the gate.","The cat louped onto the bed."
aitch,itch,"I've an aitch on my arm.","He was aitchin aw mornin."
haverel,fool,"Ye daft haverel!","Don't listen tae that haverel."
skiver,coward; useless person,"He's a right skiver.","Don't be a skiver the day."
breenge,charge forward,"He breenged through the door.","The dug breenged at the postie."
girnel,grain store,"The girnel wis fu.","He checked the girnel again."
hough,thigh,"My hough's sair.","Mind yer houghs on the climb."
scart,scratch,"Gie's a scart.","She scartit her arm."
wame,belly,"My wame's rummlin.","A fu wame makes a happy man."
bield,shelter,"Find a bield frae the wind.","We sat in the bield o the wall."
cauld,cold,"It's awfy cauld the day.","The water was cauld as ice."
snell,biting; sharp,"A snell wind blew in.","It’s a snell mornin."
