Word,Meaning,Provenance / Notes,Example Usage
bairn,child,Common in eastern & northern Scotland; part of Scots vocabulary widely used.,Keep the bairn inside till the rain stops.
brae,hill or slope,"Used in place‑names (The Braes o Balquhidder, Drumbrae) and in Scots dialect.",They climbed the steep brae to get a view over the loch.
mingin,foul smell / disgusting,Modern colloquial Scots word; gives strong character.,That’s a mingin bit of cheese — nae thanks.
smirr,fine rain / drizzle,Weather‑word typical of Scots usage; evokes atmosphere.,We set oot in the early smirr and still made good time.
wean,child,Used particularly in West Central Scotland; variant of 'bairn'.,The weans are all playing up in the yard.
neep,turnip,"Traditional Scottish vegetable word; used in ‘haggis, neeps & tatties’.",Mash the neeps gently before you serve.
stane,stone,Scots word for ‘stone’; shows how Scots uses its own terms even when English has cognates.,Throw the stane across the loch and watch the ripples.
farl,quarter piece of bread / flatbread,Traditional Scottish baking term; the quarter of a round cake or oatcake.,Cut the oatcake into a farl and share it with tea.
teuchter,rural Highlander (slang),"Lowland Scots term, with cultural/historical resonance; best used with caution.","He arrived in the city like a proper teuchter, gawky but full of stories."
wirry‑cow,"bugbear, ghost","Scots compound word, vivid and folkloric in flavour.",As a bairn she’d say there was a wirry‑cow in the attic at night.
word11,meaning11,Placeholder provenance text.,Example usage 11.
word12,meaning12,Placeholder provenance text.,Example usage 12.
word13,meaning13,Placeholder provenance text.,Example usage 13.
word14,meaning14,Placeholder provenance text.,Example usage 14.
word15,meaning15,Placeholder provenance text.,Example usage 15.
word16,meaning16,Placeholder provenance text.,Example usage 16.
word17,meaning17,Placeholder provenance text.,Example usage 17.
word18,meaning18,Placeholder provenance text.,Example usage 18.
word19,meaning19,Placeholder provenance text.,Example usage 19.
word20,meaning20,Placeholder provenance text.,Example usage 20.
word21,meaning21,Placeholder provenance text.,Example usage 21.
word22,meaning22,Placeholder provenance text.,Example usage 22.
word23,meaning23,Placeholder provenance text.,Example usage 23.
word24,meaning24,Placeholder provenance text.,Example usage 24.
word25,meaning25,Placeholder provenance text.,Example usage 25.
word26,meaning26,Placeholder provenance text.,Example usage 26.
word27,meaning27,Placeholder provenance text.,Example usage 27.
word28,meaning28,Placeholder provenance text.,Example usage 28.
word29,meaning29,Placeholder provenance text.,Example usage 29.
