insult,translation,notes
Ye absolute glaikit numpty,You utterly foolish idiot,Pan-Scots; glaikit = scatterbrained; numpty = modern urban slang (Glasgow)
Yer heid’s full o mince,Your head is full of nonsense,Common Central Belt idiom; 20th–21st c
Ye couldnae mind yer ain shaddin,You couldn’t mind your own shadow,Rural and old-fashioned Lowland expression
Ye’re as useful as a chocolate fireguard,You are completely useless,UK-wide but common in Scots humour
Yer brain’s awa for a daunder,Your brain has gone for a wander,Daunder is Scots for stroll; modern urban speech
Ye’ve the sense o a stunned haddie,You have the sense of a stunned haddock,North-East and coastal Scots; haddie = haddock
Ye’re a richt haverel,You’re a real fool,Haverel is older Scots; in use since 18th–19th c
Yer face is trippin ye,You look utterly miserable or annoyed,Central Belt idiom; common 20th–21st c
Ye’re as sharp as a soup plate,You’re not very smart,Widely used humorous insult; 20th–21st c
Yer heid’s full o buttons,Your head is full of nonsense,Lowland Scots; older domestic imagery
Ye couldnae run a minodge,You couldn’t run even a tiny stall/affair,Traditional insult; Central Belt; 19th–20th c
Yer patter’s as thin as broth,Your chat is weak and unimpressive,Modern Glasgow/urban Scots
Ye’re a greetin-faced wee nyaff,You’re a whiny little nuisance,Nyaff = minor irritant; Glasgow/West; late 20th c
Ye’re aw foam and nae beer,All show and no substance,Traditional Scots saying
Yer lights are on but naebody’s hame,You seem mentally absent,Scotland-wide; 20th–21st c
Ye’re a fly wee nyaff,You’re a sly little nuisance,Nyaff (Glasgow); fly = sly
Yer brain’s made o sawdust,You’re very dim-witted,Old British/Scottish insult; early 20th c
Ye’re as much use as a coo wi nae tail,You’re extremely useless,Rural Scots humour; Highlands & Lowlands
Ye look like yesterday’s tatties,You look a mess,Tatties = potatoes; domestic humour; 20th c
Yer tongue’s quicker than yer heid,You speak before you think,Scotland-wide saying
Ye’d start a rammy in an empty hoose,You’d start a fight anywhere,Rammy = row/fight; urban Scots
Yer heid buttons up the back,You’re naive or clueless,Common lowland insult; implying childishness
Ye’re a complete dunderheid,You’re a total idiot,Classic Scots insult; in literature since 18th c
Ye’re as welcome as midges in July,You’re very unwelcome,Midges = notorious Highland pests
Yer chat wid scunner a saint,Your talk would disgust/annoy a saint,Scunner = disgust; broad Scots
Ye’re a peelie-wally wee clipe,You’re a pale little tell-tale,Clipe = informer; peelie-wally = pale
Yer manners were lost at the fair,You have terrible manners,Old Scots saying referencing rowdy fairs
Ye’ve a face like a burst pavement,You look very rough,Modern urban Scots imagery
Yer brain’s takin a day aff,Your brain is taking the day off,Contemporary humour
Ye’re a bletherin eejit,You’re a chatterbox fool,Eejit = idiot; blether = ramble
Ye’d get lost in a paper bag,You’re hopelessly incompetent,Widely used in Scottish speech
Yer smirk wid sour milk,Your smirk is intensely irritating,Domestic imagery; Central Belt
Ye’re a stoater — and no in a guid way,You’re a real specimen (not flattering),Stoater can mean impressive or ridiculous
Yer heid’s full o fog and fenceposts,Your thinking is cloudy and confused,Humorous rural-style imagery
Ye make ma heid sair jist lookin at ye,You give me a sore head just looking at you,Common teasing insult
Ye’re a sleekit wee turnip,You’re a sly little fool,Sleekit = sly; turnip = classic Scots vegetable insult
Ye’re as confused as a coo on roller skates,You’re bewildered,Higher humour; 20th–21st c
Yer mooth works overtime but yer heid disnae,You talk too much but think too little,Common Scots domestic phrase
Ye couldnae stir soup without makin a cloor,You can’t do anything without making a mess,Cloor = dent; Lowland Scots
Ye’ve the charm o a wet dishcloth,You are not charming,UK/Scots household insult
Ye’re a rerr wee nuisance,You’re quite the nuisance,Rerr = remarkable; slightly old-fashioned
Ye’re the human version o a traffic cone,You’re bright, pointless, and in the way,Modern Scottish humour
Yer heid’s made o balsa wood,Your mind is extremely weak or flimsy,Contemporary metaphor
Ye’re a collapsed tent o a person,You’re shapeless/disorganised,Modern colloquial image
Ye’re as bright as a black puddin,You’re not very intelligent,Older Scots insult; black pudding as “dense”
Ye’ve the social grace o a startled sheep,You’re very awkward,Highland & rural humour
Ye’re a full-time job wi nae pay,You’re exhausting to deal with,Modern domestic Scots
Ye make a meal o everythin — badly,You overcomplicate everything and poorly,Common Scottish criticism
Ye’d argue wi a puddle,You’d argue with anything,West/Central Scots; 20th–21st c
Yer sense o direction’s as bad as yer chat,Your navigation is as poor as your conversation,Contemporary insult
Ye’re dafter than a bucket o frogs,You are very silly,Scottish variant of bucket-of-frogs sayings
Yer heid’s full o wee broken gears,Your mind is malfunctioning,Modern humorous metaphor
Ye’re a right muckle lump o naething,You’re a big pile of nothing,Rural Scots; muckle = big
Ye’ve the personality o damp cardboard,You’re very dull,Modern Scottish insult
Ye’re a clatterin great gomeril,You’re a noisy, clumsy fool,Gomeril = Scots for idiot; older North-East usage
Yer chat’s as empty as a dug’s dish,Your conversation has no substance,Domestic imagery
Ye’re a rogue packet, unpredictable and daft,You’re wildly unreliable,Modern techno-metaphor adopted in humour
Ye’re as daft as a bag o spanners,You’re extremely foolish,Common in Glasgow & Central Belt
Yer heid’s full o washin,Your thinking is soggy and disorganised,Older women’s speech; domestic Scots
Ye’re a bletherin bag o wind,You’re full of hot air,Pan-Scots; older speech
Ye’re the one short candle in a blackout,You’re barely helpful,Modern ironic twist on candle idioms
Ye’ve a face like a melted welly,You look awful or misshapen,Modern humorous insult
Ye couldnae tell yer erse frae yer oxter (clean version: “elbow”),You’re completely clueless,Classic Scots structure; sanitised form used in print
Yer brain’s still in its bed,You’re mentally slow today,Contemporary friendly insult
Ye’re a richt plookie wee specimen,You’re a spotty little thing,Plookie = spotty; youth slang
Ye’re as jumpy as a hen on a hot griddle,You’re very nervous,Rural Scots humour
Ye’re a bargain-basement numpty,You’re a cheap-quality fool,Modern retail metaphor
Ye’re a richt scunner o a human,You’re a source of real annoyance,Scunner = disgust; strong Scots word
Yer heid’s like a box o frogs,Your mind is chaotic,Modern variation; widely used
Ye’ve a personality like cold porridge,You’re boring and sticky to be around,Domestic food imagery
Ye’re as daft as a coo in a canoe,You’re utterly ridiculous,Modern whimsical Scottish insult
Ye’re a recycled mistake, still no improved,You’re a repeated disappointment,Modern mocking idiom
Ye’re the spare spoon at the tea table,You’re unnecessary or out of place,Older Scots domestic phrase
Ye’re a tin o broken biscuits,You’re irregular and disappointing,Modern humorous metaphor
Yer brain’s on dial-up,You’re slow to think,Modern tech humour; widely used jokingly
Ye’re as trustworthy as a midgie’s promise,You cannot be trusted,Rural Highland humour
Ye’re weirder than Wednesday’s soup,You’re very strange,Domestic humour; old canteen phrase
Ye’re a guid half-shillin short o a pound,You’re not quite right mentally,Variant of shilling idioms; 19th–20th c
Ye’re as loud as a foghorn in a close,You’re very noisy,Urban Scots (tenement context)
Ye’re a one-man stooshie machine,You create constant drama,Modern phrase using stooshie = fuss
Ye’re as reliable as a paper umbrella,You’re not reliable at all,Modern humorous metaphor
Yer chat could send a glass tae sleep,Your conversation is extremely boring,Common humour
Ye’re a cracked teapot,You don’t function properly,Older British/Scots domestic idiom
Ye’re as much use as a blind janny,You are absolutely no help,Janny = janitor; Glasgow humour
Ye’re a right gypit wee article,You’re an embarrassing little person,Gypit = ashamed/daft; Scots slang
Yer heid’s like a badly wired plug,Your thinking is faulty,Modern Scottish metaphor
Ye’re a wannabe heid-banger wi nae rhythm,You’re trying to be wild but failing,Modern Scots humour
Ye’re a chilly wind in human form,You bring no cheer,Poetic Scots insult; Highlands & Lowlands
Ye’re a walking rain cloud,You’re miserable company,Modern metaphor
Ye’re a marra-free tattie,You’re an odd one out,North-East Scots; marra = pair
Ye’re a low-wattage lantern, dim but decorative,You’re not bright,Modern humorous image
Yer heid’s a rummle o rubble,Your thoughts are chaotic,Older Scots word rummle; rural/urban
Ye’re a budget-brand numpty,You’re a particularly low-quality fool,Modern retail slang
Ye’re a damp squib in human shape,You’re a disappointment,Squib = firework; British/Scots idiom
Ye’re aboot as steady as a three-legged stool,You’re unreliable or unbalanced,Rural Scots comparison
Ye’re the dictionary definition o a fankle,You are a walking tangle of problems,Fankle = tangle; broad Scots
Ye’re dafter than a dug in a balloon shop,You are extremely excitable and silly,Modern Scots pet humour
Ye’re a right muckle greetin-faced guffie,You’re a big whiny fool,North-East/Lowland mix; guffie = foolish person
Ye’re as subtle as a brick through a windae,You’re not subtle at all,Urban Scots; 20th–21st c
Ye’re a social handbrake,You ruin the mood,Modern humorous insult
Ye’d spoil a perfectly guid silence,You talk too much,Older Scots humour
Yer heid’s like a faulty satnav,Your thinking sends you the wrong way,Modern Scottish metaphor
