category,title,body_text,tone,source_note,image_idea,confidence_flag,image_style
lineage_system,How clan membership worked in practice,"In historical Scotland, clan membership was shaped as much by residence and allegiance as by ancestry. People could become associated with a clan through protection, service, marriage, or long-term settlement. Loyalty and mutual obligation mattered more than fixed surnames. This flexibility allowed clans to adapt to political and social change.",contextual,General historical consensus,Illustration of mixed households within a clan territory,medium_high,illustration|contextual
lineage_system,Why allegiance mattered more than ancestry,"Belonging within a clan often depended on whom one followed rather than who one descended from. Allegiance provided protection, land access, and security. In unstable conditions, practical loyalty outweighed genealogical purity. Clan identity functioned as a living social system.",contextual,Social history of clan society,Diagram showing overlapping allegiance networks,medium_high,illustration|contextual
lineage_system,How protection shaped clan growth,"Clans expanded by offering protection to families and individuals living within their territory. In return, loyalty and service were expected. This reciprocal arrangement encouraged growth beyond blood relations. Protection networks helped stabilise regions over time.",contextual,Medieval Scottish social history,Map showing protected territories,medium_high,map|historical
lineage_system,Why people changed clan affiliation,"Clan affiliation was not always permanent. Changes in residence, marriage, or political pressure could lead individuals to align with a different group. Such shifts were often pragmatic rather than disloyal. Adaptation supported survival.",contextual,General historical consensus,Flow diagram showing changing affiliations,medium_high,illustration|contextual
lineage_system,How fosterage strengthened kin networks,Fosterage placed children in other households to build alliances and trust. The practice created emotional and political bonds between families. Foster relationships could be as influential as blood ties. This system reinforced inter-clan stability.,contextual,Early Scottish kinship practices,Illustration of fosterage exchange,medium_high,illustration|contextual
lineage_system,Why surnames did not define belonging,"Surnames were late and inconsistently applied in Scotland. Many unrelated families shared the same name, while close kin might use different ones. Clan belonging relied on social connection rather than nomenclature. Names followed identity, not the reverse.",informative,Historical naming practices,Historic documents showing name variation,high,archive|detail
lineage_system,How non-kin could become clan members,"Individuals without blood ties could be accepted through service, tenancy, or long residence. Over time, these connections became normalised. Inclusion strengthened manpower and loyalty. Clan society was porous by necessity.",contextual,Clan social structure studies,Illustration of extended clan community,medium_high,illustration|contextual
lineage_system,Why residence mattered in clan identity,Living within a clan’s territory created obligations and protection regardless of origin. Geography anchored identity in daily life. Residence shaped allegiance more reliably than ancestry. Place mattered deeply in belonging.,contextual,Historical geography,Map linking settlements to clan lands,medium_high,map|historical
lineage_system,How service created long-term affiliation,"Military, domestic, or agricultural service tied individuals to a clan household. Repeated service built trust and loyalty across generations. These relationships often outlasted original contracts. Service became identity.",contextual,Medieval labour history,Illustration of household service,medium_high,illustration|contextual
lineage_system,Why clan boundaries shifted over time,"Clan territories were not fixed lines on a map. Marriage, conflict, and negotiation altered boundaries. Power was relational rather than absolute. Maps reflect moments, not permanence.",contextual,Political geography,Layered map showing boundary change,medium_high,map|historical
lineage_system,How kinship extended beyond bloodlines,"Kinship included foster relations, marriage ties, and long-standing alliances. These connections created wide support networks. Social kinship often mattered more than genealogy. Clan society prioritised cohesion.",contextual,Anthropological history,Network diagram of kin ties,medium_high,illustration|contextual
lineage_system,Why clans absorbed neighbouring families,"Smaller families often sought protection under stronger clans. Absorption reduced conflict and increased stability. Over time, these families became fully integrated. Expansion was often peaceful.",contextual,Regional social history,Illustration of merging family groups,medium_high,illustration|contextual
lineage_system,How marriage altered clan relationships,Marriage linked clans politically and socially. Alliances created by marriage could ease tensions or strengthen power. Women played key roles in these connections. Marital ties reshaped clan landscapes.,contextual,Marriage and kinship studies,Marriage alliance diagram,medium_high,illustration|contextual
lineage_system,Why women linked clans through marriage,Women acted as conduits between kin groups through marriage. Their relationships maintained communication and alliance. Influence was often informal but significant. Clan continuity relied on these connections.,contextual,Gender and kinship history,Illustration of inter-clan marriage,medium_high,illustration|contextual
lineage_system,How leadership legitimacy was established,Clan leadership depended on recognition as much as inheritance. Chiefs needed support from leading families. Authority was negotiated rather than imposed. Leadership failure could lead to replacement.,contextual,Political culture of clans,Illustration of council gathering,medium_high,illustration|contextual
lineage_system,Why rival clans sometimes merged,Shared threats or economic pressure encouraged cooperation. Rival groups could merge through alliance or absorption. Former distinctions faded over generations. Survival encouraged unity.,contextual,Conflict resolution history,Illustration of merged clan symbols,medium_high,illustration|contextual
lineage_system,How geography shaped clan territories,"Mountains, rivers, and coasts influenced where clans formed and expanded. Natural barriers defined interaction. Geography shaped economy and defence. Territory followed terrain.",contextual,Physical geography of Scotland,Relief map with clan regions,medium_high,map|historical
