id,name,description
1,Abbotsford Check,"The Abbotsford Check is a sumptuous fashion tartan, woven with precision and flair to evoke the grandeur of Scotland's literary heritage. This distinctive check pattern was created by Alistair Buchan in honour of Sir Walter Scott's 200th birthday anniversary, a testament to the writer's enduring influence on Scottish culture. As one of the many fashion tartans registered by the Scottish Tartans Society, this design is steeped in tradition and rooted in Scotland's rich heritage. With its carefully balanced blend of blues, greens, and yellows, the Abbotsford Check embodies the timeless elegance of Scotland's tartan traditions, inviting wearers to proudly proclaim their connection to this storied land and its celebrated literary icon."
3,Abercrombie [default],"The Abercrombie tartan is a rich and storied design, steeped in history and heritage. Named after Sir Ralph Abercrombie, a renowned Scottish military leader, this traditional tartan was first mentioned by Wilsons of Bannockburn in 1805, marking its beginning as an official clan tartan. Produced towards the end of the 18th Century, the Abercrombie sett has remained remarkably consistent with records, making it a treasured part of Scotland's cultural fabric. As one of the oldest and most established name tartans, the Abercrombie tartan holds great significance, symbolising the enduring legacy of its eponymous namesake and his esteemed place in Scottish history."
12,Aberdeen Football Club #2,"This enigmatic Unidentified tartan, woven with precision by renowned designers Donald and Fionna Fraser, holds a captivating mystery within its intricately patterned threads. As a Fashion tartan, it is meant to evoke a sense of style and elegance, yet its origins remain shrouded in intrigue, as evidenced by the cryptic registration notes that reveal it was found on a dressing gown. The subtle nuances of this design are likely to add an air of sophistication to any outfit, whilst its unknown history beckons further exploration into Scotland's rich textile heritage. With no discernible clan connections or specific cultural affiliations to guide interpretation, the Unidentified tartan invites wearers to partake in its secrets and unravel the mystery behind this captivating fashion statement."
17,Aberdeen University 1995,"The Fed. of Circles & Solitaries corporate tartan is a striking representation of unity and harmony, reflecting the values of a diverse yet interconnected community. Designed by Dave Calvin, a nonprofit organisation focused on earth-based faiths from South East Michigan USA, this non-repeating design embodies the elements: green for the earth, yellow for the air, red for fire, and blue for water. The unique pattern weaves together these symbolic colours to create a visually striking fabric that celebrates individuality while fostering a sense of belonging among its wearers. As a corporate tartan, it is intended to be worn with pride by those who value spiritual connection and environmental stewardship, making it an inspiring choice for organisations committed to sustainable values and community building."
21,Aberlour Glenlivet,"The Aberlour corporate tartan is a quintessential representation of Scottish heritage and tradition, specifically crafted for the renowned Aberlour Whisky Distillery in the heart of Speyside. Registered as a distinctive corporate tartan, its purpose is to evoke the values and legacy of this esteemed whisky maker, which has been crafting fine spirits since 1993. Designed by the respected Kinloch Anderson Ltd, this tartan is steeped in history and symbolism, reflecting the distillery's commitment to quality and tradition. With restrictions in place to ensure its exclusive use within the Aberlour brand family, this tartan serves as a proud visual identity for the company, subtly yet effectively communicating its heritage and connection to Scotland's rich whisky-making traditions."
22,Abertay University,"The Abertay University tartan is a unique corporate fabric that proudly represents Scotland's esteemed educational institution, The University of Abertay in Dundee. With its distinct pattern, woven to signify the university's heritage and values, this tartan embodies the spirit of innovation and learning that defines the academic community. As a corporate tartan, it is designed for use by the university and its affiliates, allowing them to showcase their affiliation with this prestigious institution on everything from business attire to branding materials. Note that this tartan has been registered specifically for corporate use, ensuring that only authentic representatives of the university can utilise the distinctive design. Estimated thread count notwithstanding, this tartan is a testament to Scotland's rich textile heritage and The University of Abertay's commitment to excellence in education and research."
24,ABF The Soldiers' Charity,"The ABF The Soldiers' Charity tartan is a stirring tribute to Scotland's enduring bond with the British Armed Forces. Designated for corporate wear, this distinctive tartan was carefully crafted by Lochcarron of Scotland in honour of the Army Benevolent Fund, now rebranded as ABF The Soldiers' Charity. By weaving together traditional colours that evoke the rich heritage of Scotland's military tradition, the designer has created a striking fabric that proudly represents the nation's contribution to the army and its commitment to supporting veterans. As a registered corporate tartan, it holds great significance within the Scottish tartan community, particularly given the restrictions in place to ensure its use is accompanied by the agreement of both ABF and Lochcarron of Scotland, underscoring the importance of this charitable endeavour to the broader Scottish people."
26,ACS Clothing Ltd Blue Spirit,"The Blue Spirit tartan is a dynamic fashion statement born from the innovative spirit of its designer, Kirsty Anderson of The House of Edgar. Registered as a Fashion tartan, this vibrant design embodies the perfect fusion of style and heritage. With its distinct blue hues and subtle pattern weave, the Blue Spirit tartan pays homage to Scotland's rich textile traditions while making a bold statement on the catwalk. According to registration notes, Kirsty Anderson crafted this tartan for ACS Clothing of Glasgow, further solidifying its connection to Scotland's thriving fashion scene. While not bound by traditional clan affiliations, the Blue Spirit tartan remains a testament to the country's enduring legacy of textile artistry and flair, ready to inspire those who dare to make a statement with their wardrobe choices."
27,ACS Clothing Ltd Earl Blue Marl,"The Earl Blue Marl tartan, a sumptuous and majestic pattern designed by the renowned Lochcarron of Scotland, is a masterful blend of tradition and fashion. Originally created for Glasgow-based company ACS Clothing in association with Lochcarron, this tartan is likely to have adorned kilts for hire, adding an air of sophistication to those who wore them. With its distinct blue-green hues evoking the rolling hills of Scotland's countryside, the Earl Blue Marl embodies the country's rich cultural heritage and its storied history of weaving excellence. As a fashion tartan, it has been carefully crafted to make a stylish statement, while also paying homage to the traditional craftsmanship that underpins Scottish textile artistry."
28,ACS Clothing Ltd Grey Spirit,"The Grey Spirit tartan is a stylish and modern fashion design, woven by renowned Scottish mill, Lochcarron, for ACS Clothing's kilt hire business. This versatile pattern is perfect for those seeking a subtle yet sophisticated look, with its predominantly grey/black marl hue creating a sleek and contemporary appearance. While it may not be the most traditional of tartans, the Grey Spirit is deeply rooted in Scottish heritage, evoking the spirits of the wild and untamed. Its registration notes suggest that the tartan was created specifically for fashion, rather than as part of an established clan tradition or formal heirloom. This makes it a great choice for those looking to add a touch of modernity to their traditional attire, without compromising on style or Scottish heritage."
29,ACS Clothing Ltd Summer Spirit,"Summer Spirit, a vibrant and captivating fashion tartan, embodies the carefree essence of Scotland's warmest season. Designed by Kirsty Anderson, this dynamic pattern is set to bring a breath of fresh air to any outfit, evoking feelings of joy and vitality. Originally registered for use in clothing by ACS Clothing of Glasgow, a subsidiary of the esteemed House of Edgar, Summer Spirit is poised to become a staple in fashion enthusiasts' wardrobes. With its unique blend of colours, carefully selected to evoke the warmth and beauty of Scotland's summer landscapes, this tartan is sure to add a pop of personality to any ensemble."
30,Adam [default],"The Adams tartan is a storied heritage textile, its registration notes evoking the rich history of the Adams family name. Designed by Dalgliesh in 1895, this tartan is a quintessential example of Scottish tradition, woven to evoke the honour and legacy of those who bear the name. As a Category Name tartan, it is specifically designated for use by individuals with the surname Adams, rendering it an important part of their heritage and family identity. Notably, a restriction applies, stipulating that the tartan should only be prepared for weaving by Dalgliesh Ltd, underscoring the importance of preserving traditional techniques and ensuring consistency in its production. This subtle yet significant detail adds depth to the design's significance, solidifying its place within Scotland's revered tartan heritage."
34,Agnew [default],"The Agnew tartan is a storied Name tartan that has been woven with pride by Scottish weavers for generations. Registered in the prestigious Lyon Court Books in 1978, this distinctive design tells the story of a name that echoes through Scottish heritage. Named after its esteemed designers, James Agnew and George Lindley, this tartan's significance extends beyond its technical characteristics to represent a lasting tribute to a noble family's legacy. As a Name tartan, the Agnew features a carefully balanced palette of blues, greens, and yellows, symbolising the rich cultural and historical context that has shaped Scotland's intricate weave of identity and tradition."
39,Ainslie 1992 Variant,"The Ainslie tartan, TS2187, is a revered clan tartan born from the meticulous hand of Dr Gordon Teall in 1992, with roots dating back to an early 1980s sample submitted to the Scottish Tartans Society files by Dr Philip Smith Jr. This rich and complex design holds deep significance as a testament to the enduring legacy of Clan Ainslie, whose storied history is woven into the very fabric of Scotland's cultural heritage. As a family tartan, the Ainslie carries the weight of tradition and honour, its intricate patterns and colours evoking a sense of pride and connection to the noble families who have worn it through generations. Although the original sample may have been lost to time, Dr Teall's masterful creation remains a cherished reminder of Scotland's rich tartan heritage, forever linked to the Ainslie clan legacy."
