id,preview,type,family,name,nationality,legacy_id,attribute,offline,restriction_supplier,active,customers,created_at,description,register_id
1,,Tartan,,Abbotsford Check,,57,,False,,True,False,2025-10-24 16:10:47.091676,"The Abbotsford Check is a sumptuous fashion tartan, woven with precision and flair to evoke the grandeur of Scotland's literary heritage. This distinctive check pattern was created by Alistair Buchan in honour of Sir Walter Scott's 200th birthday anniversary, a testament to the writer's enduring influence on Scottish culture. As one of the many fashion tartans registered by the Scottish Tartans Society, this design is steeped in tradition and rooted in Scotland's rich heritage. With its carefully balanced blend of blues, greens, and yellows, the Abbotsford Check embodies the timeless elegance of Scotland's tartan traditions, inviting wearers to proudly proclaim their connection to this storied land and its celebrated literary icon.",14
2,,Tartan,,Abbotsford,,6932,,False,,True,False,2025-10-24 16:10:47.085182,,
3,,Tartan,Abercrombie,Abercrombie [default],,241,,False,,True,False,2025-10-24 16:10:47.106064,"The Abercrombie tartan is a rich and storied design, steeped in history and heritage. Named after Sir Ralph Abercrombie, a renowned Scottish military leader, this traditional tartan was first mentioned by Wilsons of Bannockburn in 1805, marking its beginning as an official clan tartan. Produced towards the end of the 18th Century, the Abercrombie sett has remained remarkably consistent with records, making it a treasured part of Scotland's cultural fabric. As one of the oldest and most established name tartans, the Abercrombie tartan holds great significance, symbolising the enduring legacy of its eponymous namesake and his esteemed place in Scottish history.",19
12,,Tartan,,Aberdeen Football Club #2,,3009,,False,Restricted Fabrics,False,False,2025-10-24 16:10:47.435480,"This enigmatic Unidentified tartan, woven with precision by renowned designers Donald and Fionna Fraser, holds a captivating mystery within its intricately patterned threads. As a Fashion tartan, it is meant to evoke a sense of style and elegance, yet its origins remain shrouded in intrigue, as evidenced by the cryptic registration notes that reveal it was found on a dressing gown. The subtle nuances of this design are likely to add an air of sophistication to any outfit, whilst its unknown history beckons further exploration into Scotland's rich textile heritage. With no discernible clan connections or specific cultural affiliations to guide interpretation, the Unidentified tartan invites wearers to partake in its secrets and unravel the mystery behind this captivating fashion statement.",9423
13,,Tartan,,Aberdeen Football Club #3,,3010,,False,Restricted Fabrics,False,False,2025-10-24 16:10:47.435253,,
14,,Tartan,,Aberdeen Football Club,,4536,,False,Restricted Fabrics,False,False,2025-10-24 16:10:47.435044,,
17,,Tartan,,Aberdeen University 1995,,3011,,False,Restricted Fabrics,False,False,2025-10-24 16:10:47.436087,"The Fed. of Circles & Solitaries corporate tartan is a striking representation of unity and harmony, reflecting the values of a diverse yet interconnected community. Designed by Dave Calvin, a nonprofit organisation focused on earth-based faiths from South East Michigan USA, this non-repeating design embodies the elements: green for the earth, yellow for the air, red for fire, and blue for water. The unique pattern weaves together these symbolic colours to create a visually striking fabric that celebrates individuality while fostering a sense of belonging among its wearers. As a corporate tartan, it is intended to be worn with pride by those who value spiritual connection and environmental stewardship, making it an inspiring choice for organisations committed to sustainable values and community building.",2851
20,,Tartan,,Aberlour Glenlivet Bicentenary,Scottish,43547,,False,Restricted Fabrics,False,False,2025-10-24 16:10:47.439732,,
21,,Tartan,,Aberlour Glenlivet,,5982,,False,Restricted Fabrics,False,False,2025-10-24 16:10:47.439614,"The Aberlour corporate tartan is a quintessential representation of Scottish heritage and tradition, specifically crafted for the renowned Aberlour Whisky Distillery in the heart of Speyside. Registered as a distinctive corporate tartan, its purpose is to evoke the values and legacy of this esteemed whisky maker, which has been crafting fine spirits since 1993. Designed by the respected Kinloch Anderson Ltd, this tartan is steeped in history and symbolism, reflecting the distillery's commitment to quality and tradition. With restrictions in place to ensure its exclusive use within the Aberlour brand family, this tartan serves as a proud visual identity for the company, subtly yet effectively communicating its heritage and connection to Scotland's rich whisky-making traditions.",35
22,,Tartan,,Abertay University,,5990,,True,Restricted Fabrics,False,False,2025-10-24 16:10:47.439500,"The Abertay University tartan is a unique corporate fabric that proudly represents Scotland's esteemed educational institution, The University of Abertay in Dundee. With its distinct pattern, woven to signify the university's heritage and values, this tartan embodies the spirit of innovation and learning that defines the academic community. As a corporate tartan, it is designed for use by the university and its affiliates, allowing them to showcase their affiliation with this prestigious institution on everything from business attire to branding materials. Note that this tartan has been registered specifically for corporate use, ensuring that only authentic representatives of the university can utilise the distinctive design. Estimated thread count notwithstanding, this tartan is a testament to Scotland's rich textile heritage and The University of Abertay's commitment to excellence in education and research.",39
