category,title,body_text,tone,source_note,image_idea,confidence_flag,image_style
fact,Why Scotland has more lochs than lakes,"In Scotland, the distinction between a loch and a lake is largely linguistic rather than scientific. The word “loch” comes from Gaelic and Scots usage and was historically applied to many bodies of water regardless of size. As English terms became more common elsewhere, Scottish usage remained consistent. This is why Scotland appears unusually rich in lochs when compared using modern English terminology.",informative,General historical and linguistic consensus,,high,landscape|archive
fact,Why dry stone walls are common in rural Scotland,"Dry stone walls became widespread in Scotland because stone was abundant while timber was often scarce. These walls could be built without mortar and repaired easily using local materials. Over time, they became a defining feature of agricultural landscapes, particularly in upland areas. Their presence reflects practical adaptation rather than decorative intent.",contextual,Rural land-use history,,high,landscape|archive
fact,Why Scotland has so many islands,"Scotland’s high number of islands is the result of long geological processes combined with a deeply indented coastline. Glacial erosion carved sea lochs and channels that later flooded, isolating hilltops as islands. These landforms shaped settlement, transport, and culture over centuries. Island life developed distinct rhythms in response to this geography.",informative,Geological and geographic consensus,,high,landscape|archive
fact,Why many Scottish towns grew around harbours,"Access to the sea was critical for trade, fishing, and communication in Scotland’s past. Natural harbours offered shelter and reliable routes long before modern roads existed. Towns that developed around these locations often became regional centres. Their layouts still reflect this maritime origin.",contextual,Scottish urban and maritime history,,high,landscape|archive
fact,Why crofting developed in the Highlands and Islands,"Crofting emerged as a response to poor soil, harsh climate, and fragmented land in northern Scotland. Small-scale mixed farming allowed families to survive where large agriculture was impractical. Over time, crofting became a distinct way of life tied closely to community and landscape. Its legacy remains visible today.",informative,Highland land-use history,,high,landscape|archive
fact,Why stone replaced timber in many Scottish buildings,"In many parts of Scotland, suitable building stone was easier to obtain than large quantities of timber. As forests declined, stone offered a durable alternative that withstood weather and fire. This led to the stone-built towns and villages seen today. Architecture became closely linked to local geology.",contextual,Architectural and environmental history,,high,landscape|archive
fact,Why education became widespread early in Scotland,"Scotland placed early emphasis on parish schooling, particularly after the Reformation. Local schools aimed to ensure basic literacy across communities. This created unusually high levels of education by European standards. The effects influenced civic life and professional culture for generations.",informative,Early modern Scottish records,,high,landscape|archive
fact,Why kirks dominate many village centres,"The parish kirk was historically the focal point of social and religious life. Villages often developed around it, reinforcing its central position. Beyond worship, kirks hosted meetings and announcements. Their prominence reflects both spiritual and practical importance.",contextual,Parish history,,high,landscape|archive
fact,Why peat was widely used as fuel,"Peat provided a reliable fuel source where coal and wood were limited. Communities learned how to cut, dry, and store it efficiently. Its use shaped seasonal labour and settlement patterns. Peatlands therefore became closely tied to daily life.",informative,Environmental and social history,,high,landscape|archive
fact,Why ferries remain essential in Scotland,"Water continues to separate many Scottish communities despite modern infrastructure. Ferries provide lifelines for transport, supplies, and social connection. Routes often follow paths used for centuries. Their continued importance reflects geography more than convenience.",contextual,Transport history,,high,landscape|archive
fact,Why river crossings shaped early Scottish towns,"Before bridges were common, safe river crossings determined where people gathered. Fords and ferry points became natural meeting places for trade, travel, and authority. Over time, these sites attracted markets, churches, and defensive structures. Many Scottish towns still sit where crossing the water was once unavoidable.",informative,General historical consensus,River ford or early bridge illustration,high,landscape|archive
fact,Why Scotland developed so many small harbours,"Scotland’s broken coastline offered countless natural anchorages rather than a few large ports. Small harbours allowed fishing and local trade to flourish close to communities. These facilities often grew gradually, shaped by tides and weather rather than formal planning. Their scale reflects practical maritime needs.",contextual,Scottish maritime history,Coastal harbour photograph,high,landscape|archive
fact,Why upland grazing remained common for centuries,Much of Scotland’s upland terrain was unsuitable for intensive farming. Grazing animals such as sheep and cattle made use of land that could not be ploughed. Seasonal movement between low and high ground balanced survival with sustainability. This pattern shaped rural life and land management.,informative,Agricultural history of Scotland,Upland pasture landscape,high,landscape|archive
