id,name,description,level,parent_id,last_updated
12,CLAN Main Category,,0,1,2025-08-08 14:54:25.83764
308,Collections,,1,12,2025-08-08 14:54:25.83764
336,Autumn Collection,"As the leaves turn and those darker nights draw in, we are beginning to ready ourselves for the cooler days ahead. Let us take you through our pick of the best that Scotland has to offer. Our superb selection of stylish tweeds, comforting lambwool and the earthy tones of Reproduction tartans will get you in the mood for September and beyond.",2,308,2025-08-08 14:54:25.83764
334,New Products,A selection of our latest offerings.,2,308,2025-08-08 14:54:25.83764
345,Personalised Products,"Discover a unique collection of personalised Scottish products. Tailor each item with your choice of tartans, clan crests, silhouette designs and more to create a truly one-of-a-kind piece that reflects your own family roots.",2,308,2025-08-08 14:54:25.83764
346,Spring Collection,"From skirts to shawls, every piece in our spring collection is crafted to help you make the most of the season’s beauty, so you can step into nature with confidence and style.",2,308,2025-08-08 14:54:25.83764
338,Summer Collection,"From t-shirts to swimwear, our summer collection showcases tartan and clan crest designs with vibrant style. Crafted for beach days, picnics, or active adventures, every piece—from shorts and leggings to hats, bandanas, and towels - lets you embrace the season’s warmth with a splash of Scottish charm.",2,308,2025-08-08 14:54:25.83764
300,Departments,,1,12,2025-08-08 14:54:25.83764
340,Antler and Horn,"Handcrafted antler and horn items: traditional Scottish spoons, cups, bottle openers and more -  celebrating natural elegance and heritage.",2,300,2025-08-08 14:54:25.83764
301,Bagpipe,,2,300,2025-08-08 14:54:25.83764
318,Burns,Our curated collection of authentic products with a Robert Burns motif or that are popular for Scottish-themed celebrations such as Burns Night.,2,300,2025-08-08 14:54:25.83764
317,Cashmere,"Cashmere from the finest producers in Scotland, plus the best from overseas. For genuine Scottish cashmere of the very highest quality, filter by 'Made in Britain'.",2,300,2025-08-08 14:54:25.83764
305,Custom Tailoring,,2,300,2025-08-08 14:54:25.83764
298,Irish,"Traditional kilts, formal jackets, and accessories crafted for those who take pride in their Irish heritage. Explore Irish tartans, Shamrock-inspired gifts, and high-quality pieces to complete your look for any occasion.",2,300,2025-08-08 14:54:25.83764
295,Knitwear,"Superb knitwear from Scotland for men, women, and children in pure new wool, genuine Scottish Cashmere, and other quality fibres. We even offer sweaters and cardigans hand-knitted locally the old-fashioned way on knitting needles - just like your granny used to make you!",2,300,2025-08-08 14:54:25.83764
304,Knitwear for Children,Beautiful hand-knitted jerseys and cardigans for children.,3,295,2025-08-08 14:54:25.83764
302,Knitwear for Men,"A collection of the finest knitwear, from hand knitted pure new wool cardigans to quality cashmere jumpers, sourced from Scotland's leading suppliers.  ",3,295,2025-08-08 14:54:25.83764
303,Knitwear for Women,"Our beautiful knitwear collection features both traditional hand-made jumpers and contemporary knitwear designs. Luxurious cashmere or cosy pure new wool, our sweaters look great and will keep you warm.",3,295,2025-08-08 14:54:25.83764
296,Tweed,"The finest Scottish tweed products, direct from Scotland, the home of authentic tweed. We supply both custom-produced garments for men and women made to order in your choice of tweed fabrics, and hand-selected tweed goods from traditional Scottish producers.",2,300,2025-08-08 14:54:25.83764
259,Weddings,"Everything you need to have the perfect, traditional Scottish wedding. You can even design your own commemorative tartan for garments and gifts, blending two family plaids into one.",2,300,2025-08-08 14:54:25.83764
262,Bridal Wear,Who says a bride can only wear white? There's nothing more beautiful than tartan to celebrate your family heritage on the big day.,3,259,2025-08-08 14:54:25.83764
260,Ceremony,The big day is approaching faster than you thought but don't worry we are here to help with a selection of finishing touches for the perfect ceremony.,3,259,2025-08-08 14:54:25.83764
263,Groom Wear,"At Scottish weddings it's not only the bride who can dress to impress. We've by far the world's largest choice of tartan kilt outfits, to celebrate your old family as well as your new one!",3,259,2025-08-08 14:54:25.83764
264,Wedding Party,Luxury Scottish Highland wear for groomsmen and bridesmaids as well as you entire wedding party. Everything you need to throw the perfect Scottish Wedding!,3,259,2025-08-08 14:54:25.83764
261,Wedding Presents,"Honour the couple’s love with exquisite Scottish wedding gifts, steeped in tradition. From tartan keepsakes to handcrafted quaichs and commemorative treasures, each gift weaves Highland romance into their forever story.",3,259,2025-08-08 14:54:25.83764
265,Wedding Receptions,From ribbons to fabrics table runners to quaichs and more - we have everything you need to throw the perfect Scottish wedding reception.,3,259,2025-08-08 14:54:25.83764
297,Welsh,"Embrace Welsh heritage with our selection of kilts, formalwear, and accessories. From traditional Welsh tartans to dragon-inspired jewellery, ties, and scarves, find everything you need to celebrate your roots in style.",2,300,2025-08-08 14:54:25.83764
267,Products,"A huge range of bespoke mens wear, women's wear, children's wear, and homewares that we'll make for you in ANY suitable fabric from the world's largest range of tartans and tweeds - including your own designs!",1,12,2025-08-08 14:54:25.83764
20,Children,"From clothing and accessories to cuddly toys, our children and babies range offers high quality Scottish products that are sure to put a smile on your wee one’s face.",2,267,2025-08-08 14:54:25.83764
128,Baby,"Baby’s luxury Scottish accessories. Available in quality cashmere, our blankets are the perfect addition to any cot.",3,20,2025-08-08 14:54:25.83764
123,Boys Clothing,At Clan we offer clothing to suit all occasions for your little man.,3,20,2025-08-08 14:54:25.83764
50,Boys Kilts & Highlandwear,"Special event coming up? From jackets to vest, from sporrans to brogues, at CLAN we have everything you need for your wee man’s first kilt outfit.",3,20,2025-08-08 14:54:25.83764
48,Children's Hats & Scrunchies,"Give your little ones a touch of Scottish tradition with our charming selection of children's hats and hair accessories, available in a wide range of tartans.",3,20,2025-08-08 14:54:25.83764
164,Children's Jewellery,Put a smile on your little girl’s face with our collection of cute necklaces and bracelets. At Clan we offer only high quality Scottish jewellery for your wee one.,3,20,2025-08-08 14:54:25.83764
49,Girls Clothing,At Clan we offer clothing to suit all occasions for your little lady.,3,20,2025-08-08 14:54:25.83764
326,Soft Toys,Meet our range of gorgeous stuffed animals. They can be accessorised with scarfs and tammies in your choice of tartan.,3,20,2025-08-08 14:54:25.83764
328,Clearance,,2,267,2025-08-08 14:54:25.83764
245,Anniversary Gifts,Show your significant other you care with our selection of traditional Scottish anniversary gifts.,3,18,2025-08-08 14:54:25.83764
292,Birthday Gifts,"Traditional, quality Scottish birthday gifts for that special someone!",3,18,2025-08-08 14:54:25.83764
244,Christening Gifts,Luxury Scottish Christening gifts - to be treasured forever.,3,18,2025-08-08 14:54:25.83764
309,Christmas Gift Guide,Christmas is a time to be with family. So celebrate your family roots with a gift from your loved one's home in Scotland. ,3,18,2025-08-08 14:54:25.83764
312,Gifts for Children,,4,309,2025-08-08 14:54:25.83764
311,Gifts for Her,,4,309,2025-08-08 14:54:25.83764
310,Gifts for Him,,4,309,2025-08-08 14:54:25.83764
325,Homeware,"From our traditional tartan tableware to gorgeous glassware, we have beautiful additions for every room in your home. Choose from clan crest designs, our wide range of tartans, or opt for a lovely cashmere throw to add a little piece of Scotland to your home.",4,309,2025-08-08 14:54:25.83764
246,Engagement Gifts,"Jewellery, tartan, cashmere and more - luxury Scottish gifts for a special couple.",3,18,2025-08-08 14:54:25.83764
242,Gifts for Babies,"Traditional Scottish gifts for babies. Cuddly toys, cashmere blankets, highland coo booties and more!",3,18,2025-08-08 14:54:25.83764
240,Gifts for Children,"Traditional Scottish gifts for the wee ones! Perfect for Christmas, birthdays and more.",3,18,2025-08-08 14:54:25.83764
241,Gifts for Couples,"Traditional, quality gifts for couples.",3,18,2025-08-08 14:54:25.83764
239,Gifts for Her,"Luxury Scottish gifts for the special woman in your life - perfect for Christmas, birthdays, weddings and more!",3,18,2025-08-08 14:54:25.83764
238,Gifts for Him,"Men are notoriously difficult to buy for but worry not, we're here to help with our 'Gifts for Him' gift guide. Get him something he'll really love.",3,18,2025-08-08 14:54:25.83764
243,Gifts for Pets,"Luxury Scottish gifts for pets. Traditional, quality presents for your furry friend!",3,18,2025-08-08 14:54:25.83764
247,New Home Gifts,Give someone a true Scottish welcome to their new home with our selection of housewarming gifts.,3,18,2025-08-08 14:54:25.83764
248,Retirement Gifts,"Traditional, quality retirement gifts for a treasured colleague.",3,18,2025-08-08 14:54:25.83764
319,Valentine's Day Gifts,Celebrate your Scottish heritage with your loved one. We have the perfect range of gifts for Valentine's Day.,3,18,2025-08-08 14:54:25.83764
38,Vouchers & Gift Sets,Not sure what to get your loved one? CLAN Gift Certificates let your loved ones choose their own perfect present.,3,18,2025-08-08 14:54:25.83764
249,Wedding Gifts,"Traditional, quality Wedding gifts for a special couple.",3,18,2025-08-08 14:54:25.83764
157,Bed & Bath,Pamper yourself with our range of bath and body products. ,3,37,2025-08-08 14:54:25.83764
163,Cutlery & Utensils,"Cutlery sets traditionally make a great wedding gift, and we have a range of unusual items that can often be hard to find. Our selection of knives, forks and spoons made from materials such as oxhorn and antler are traditional yet unique and have been handcrafted in Scotland by expert craftsmen.",4,83,2025-08-08 14:54:25.83764
169,Drinking Vessels,"Our collection of drinking vessels includes plain styles, clan crested, emblem, tartan and commemorative designs, many with optional engraving - all helping you to create the perfect personal gift for your loved ones.",4,83,2025-08-08 14:54:25.83764
339,Coasters,"Bring a touch of Scotland to your table with our exquisite range of tartan and clan coasters.  Choose your family tartan or create your own design to make these your own. Durable and stylish, these coasters make an ideal gift for any occasion or a beautiful addition to your own decor.",5,169,2025-08-08 14:54:25.83764
173,Cups,Choose from Ox horn drinking horns or pewter drinking cups and add a touch of heritage to your drinks.,5,169,2025-08-08 14:54:25.83764
43,Drinking horns,"Our collection of drinking vessels includes plain styles, clan crested, emblem, tartan and commemorative designs, many with optional engraving - all helping you to create the perfect personal gift for your loved ones. ",5,169,2025-08-08 14:54:25.83764
171,Flasks,"If you like your dram on the move, then we have a wide selection of hip flasks. In various sizes, and curved to fit the body neatly, they are ideal for enjoying a dram whilst shooting, fishing and engaging in other outdoor pursuits.",5,169,2025-08-08 14:54:25.83764
155,Glasses,"After a hard days work, it's great to unwind with a wee dram, and we have a selection of glasses for you to relax with.  Our whisky glasses come in a variety of styles, from traditional tot glasses, to tumblers with Celtic, Charles Rennie Mackintosh and clan crest designs. If beer is your tipple, we have a wide range of British pint tankards, made from pewter, which can also be engraved with a special message. And if wine or champagne is your preferred drink, we have a stunning range of delicate goblets and flutes that will be perfect for toasting the bells at Hogmanay, the bride and groom, or at any other special celebration.",5,169,2025-08-08 14:54:25.83764
279,Goblets,,5,169,2025-08-08 14:54:25.83764
172,Tankards,"Enjoy your drinks in true Scottish style with one of these traditional Celtic tankards. Available in a wide array of clan crests, MacKintosh and Celtic designs these are a must have for any true Scotsman!",5,169,2025-08-08 14:54:25.83764
156,Jugs & Decanters,"A fabulous range of Celtic-themed jugs and decanters. Choose from a captivating range of designs, and add a new Celtic touch to your drinking sessions.",4,83,2025-08-08 14:54:25.83764
170,Quaichs,"Pewter is the most common metal to use for manufacturing quaichs so it is not surprising we have an extensive range to choose from. Our collection includes plain styles, clan crested, emblem, tartan and commemorative quaichs to suit almost every occasion. With the option of engraving and setting on a plinth, these would make ideal gifts or presentation prizes.",4,83,2025-08-08 14:54:25.83764
44,Table Cloths & Settings,"Whether  for a dinner party or Burns night, or to add a Scottish theme to your big day, our range of tartan table cloths and settings will be much admired.  All in a wide range of tartans.",4,83,2025-08-08 14:54:25.83764
39,Home Accessories,If your home needs a few finishing touches then take a browse through the range of ornaments and art on offer.,3,37,2025-08-08 14:54:25.83764
19,Jewellery,Choose something special from our broad selection of jewellery.,2,267,2025-08-08 14:54:25.83764
